"Item_Number","Title","End_Time","Price","Ruler","Year","Mint","YI_Num","Description","Obverse_Image","Reverse_Image","Obverse_Text","Reverse_Text","Obverse_URL","Reverse_URL"
"401144359128","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-655-H-PM344-","05. Jul. 2016 22:33:07 MESZ","EUR 23,00","","","","","","401144359128o.jpg","401144359128r.jpg","","","Njc1WDEyOTM=/z/KqgAAOSwhOVXcb78","Njc1WDEyOTM=/z/KqgAAOSwhOVXcb78"
"391494332369","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-654-H-PM343-","05. Jul. 2016 22:30:37 MESZ","EUR 23,39","","","","","","391494332369o.jpg","391494332369r.jpg","","","NjM5WDEyNjI=/z/daMAAOSw-KFXcb7x","NjM5WDEyNjI=/z/daMAAOSw-KFXcb7x"
"401144356566","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-652-H-PM342-","05. Jul. 2016 03:07:46 MESZ","EUR 28,28","","","","","","401144356566o.jpg","401144356566r.jpg","","","NjQwWDEyNTE=/z/cfoAAOSw-4BXcbyw","NjQwWDEyNTE=/z/cfoAAOSw-4BXcbyw"
"401144356552","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-650-H-PM341-","05. Jul. 2016 03:04:15 MESZ","EUR 26,00","","","","","","401144356552o.jpg","401144356552r.jpg","","","NjQ5WDEyNjk=/z/IEsAAOSwNuxXcbyq","NjQ5WDEyNjk=/z/IEsAAOSwNuxXcbyq"
"401144356539","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-649-H-PM340-","05. Jul. 2016 03:01:36 MESZ","EUR 26,00","","","","","","401144356539o.jpg","401144356539r.jpg","","","Njc4WDEzNTU=/z/QqwAAOSw-KFXcbyk","Njc4WDEzNTU=/z/QqwAAOSw-KFXcbyk"
"391494328620","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-648-H-PM339-","05. Jul. 2016 02:58:03 MESZ","EUR 18,25","","","","","","391494328620o.jpg","391494328620r.jpg","","","NjY4WDEzMDc=/z/cAcAAOSw-4BXcbye","NjY4WDEzMDc=/z/cAcAAOSw-4BXcbye"
"401144356494","SOL-Rum-Seljuqen-Izz-ad-Din-Kaykaus-II-Dirham-Konya-646-H-PM296-","05. Jul. 2016 02:55:08 MESZ","EUR 19,00","","","","","","401144356494o.jpg","401144356494r.jpg","","","ODE0WDE2MDA=/z/5FQAAOSwhOVXcbyX","ODE0WDE2MDA=/z/5FQAAOSwhOVXcbyX"
"401139291099","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-625-H-BA47-","26. Jun. 2016 02:17:08 MESZ","EUR 25,50","","","","","","401139291099o.jpg","401139291099r.jpg","","","Njg5WDEzNjE=/z/6CgAAOSwvg9XZdM8","Njg5WDEzNjE=/z/6CgAAOSwvg9XZdM8"
"401139291075","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-617-H-BA-46-","26. Jun. 2016 02:14:03 MESZ","EUR 25,50","","","","","","401139291075o.jpg","401139291075r.jpg","","","NzEwWDE0MzI=/z/vakAAOSwMNxXZdM1","NzEwWDE0MzI=/z/vakAAOSwMNxXZdM1"
"401139291063","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-623-H-BA45-","26. Jun. 2016 02:11:02 MESZ","EUR 25,50","","","","","","401139291063o.jpg","401139291063r.jpg","","","NzExWDE0MTc=/z/eXcAAOSwmtJXZdMt","NzExWDE0MTc=/z/eXcAAOSwmtJXZdMt"
